unixtime;Bx;By;Bz
1615395493.5915477;-2175;-3420;-11202
1615395493.6108735;-2151;-3427;-11126
1615395493.6200855;-2122;-3425;-11077
1615395493.6304705;-2106;-3445;-11045
1615395493.6413546;-2092;-3455;-10980
1615395493.6598554;-2063;-3457;-10883
1615395493.6706643;-2037;-3442;-10837
1615395493.687503;-2025;-3445;-10786
1615395493.691618;-2006;-3457;-10728
1615395493.7092936;-1977;-3462;-10615
1615395493.71946;-1958;-3467;-10571
1615395493.7299294;-1937;-3455;-10500
1615395493.740553;-1923;-3452;-10432
1615395493.7595136;-1890;-3435;-10312
1615395493.7695994;-1861;-3440;-10243
1615395493.77929;-1847;-3412;-10178
1615395493.790338;-1840;-3425;-10096
1615395493.8090212;-1802;-3400;-9963
1615395493.8185232;-1790;-3392;-9892
1615395493.8284478;-1766;-3380;-9818
1615395493.8588703;-1718;-3352;-9576
1615395493.8686206;-1697;-3347;-9505
1615395493.878451;-1690;-3327;-9421
1615395493.8895752;-1676;-3312;-9326
1615395493.9076352;-1631;-3272;-9143
1615395493.917693;-1618;-3252;-9061
1615395493.9277623;-1600;-3232;-8973
1615395493.9576786;-1547;-3180;-8693
1615395493.967604;-1538;-3150;-8598
1615395493.9774506;-1531;-3122;-8488
1615395493.988512;-1515;-3115;-8377
1615395494.017343;-1460;-3027;-8063
1615395494.047282;-1420;-2937;-7737
1615395494.05737;-1407;-2915;-7617
1615395494.0878203;-1367;-2802;-7246
1615395494.1172457;-1333;-2710;-6881
1615395494.1268017;-1331;-2665;-6765
1615395494.1378922;-1312;-2630;-6633
1615395494.15639;-1288;-2535;-6375
1615395494.1663744;-1283;-2502;-6252
1615395494.1765432;-1286;-2462;-6118
1615395494.187466;-1270;-2427;-5982
1615395494.1966712;-1257;-2382;-5860
1615395494.2265813;-1236;-2255;-5448
1615395494.2376711;-1236;-2197;-5298
1615395494.2663133;-1215;-2070;-4885
1615395494.2961516;-1203;-1922;-4465
1615395494.3061051;-1210;-1870;-4317
1615395494.3369586;-1215;-1712;-3873
1615395494.3652604;-1193;-1542;-3451
1615395494.3954642;-1207;-1400;-3002
1615395494.4054017;-1227;-1347;-2857
1615395494.4362042;-1236;-1162;-2377
1615395494.4646807;-1251;-1010;-1922
1615395494.47461;-1265;-957;-1795
1615395494.4858127;-1275;-890;-1620
1615395494.5150485;-1293;-722;-1178
1615395494.5244813;-1312;-655;-1012
1615395494.5353026;-1328;-602;-846
1615395494.5642967;-1370;-422;-388
1615395494.5743542;-1386;-370;-236
1615395494.5846026;-1400;-315;-56
1615395494.5932164;-1423;-250;62
1615395494.6031132;-1431;-190;220
1615395494.6131516;-1457;-137;375
1615395494.6228056;-1467;-75;531
1615395494.6527858;-1533;95;1010
1615395494.6626577;-1550;145;1160
1615395494.6726806;-1571;197;1323
1615395494.7134662;-1673;420;1912
1615395494.7229;-1687;477;2058
1615395494.7336314;-1713;535;2241
1615395494.7433162;-1728;582;2363
1615395494.7725813;-1818;737;2800
1615395494.7834897;-1850;795;2972
1615395494.7920282;-1882;832;3111
1615395494.8022242;-1906;890;3250
1615395494.812041;-1935;935;3388
1615395494.8430839;-2032;1065;3797
1615395494.8522365;-2053;1115;3931
1615395494.8828955;-2161;1257;4350
1615395494.891542;-2198;1310;4453
1615395494.9214928;-2301;1415;4827
1615395494.9324403;-2338;1460;4985
1615395494.9617856;-2446;1567;5337
1615395494.991143;-2560;1650;5677
1615395495.0011172;-2588;1692;5800
1615395495.0320554;-2722;1762;6130
1615395495.0412488;-2738;1787;6222
1615395495.0705557;-2857;1847;6525
1615395495.0816464;-2923;1870;6620
1615395495.1107504;-3047;1920;6887
1615395495.140224;-3155;1947;7123
1615395495.1696503;-3287;1960;7352
1615395495.182068;-3345;1965;7430
1615395495.1898034;-3387;1967;7511
1615395495.2194684;-3508;1965;7693
1615395495.2306156;-3563;1945;7756
1615395495.2593958;-3691;1932;7906
1615395495.2705357;-3735;1920;7941
1615395495.280199;-3777;1895;8012
1615395495.2986526;-3851;1862;8091
1615395495.3083956;-3891;1835;8127
1615395495.3185995;-3938;1825;8156
1615395495.3484259;-4062;1745;8246
1615395495.3585644;-4115;1712;8273
1615395495.3686678;-4165;1680;8282
1615395495.3793607;-4205;1642;8331
1615395495.3885605;-4233;1627;8328
1615395495.4184725;-4363;1502;8372
1615395495.4296455;-4418;1452;8377
1615395495.4581637;-4540;1315;8377
1615395495.4878585;-4642;1160;8352
1615395495.497667;-4677;1110;8336
1615395495.5281177;-4811;912;8290
1615395495.5375621;-4822;867;8266
1615395495.5472057;-4877;805;8230
1615395495.5784793;-4982;570;8143
1615395495.5872946;-5015;515;8097
1615395495.5967255;-5046;440;8070
1615395495.6068308;-5077;370;8017
1615395495.6167805;-5101;285;7971
1615395495.6278093;-5153;175;7936
1615395495.6568255;-5227;-62;7791
1615395495.6665273;-5267;-145;7731
1615395495.677565;-5298;-260;7658
1615395495.6866705;-5298;-330;7606
1615395495.7166874;-5378;-622;7418
1615395495.7273905;-5422;-745;7326
1615395495.7559483;-5473;-1047;7105
1615395495.7661986;-5488;-1150;7028
1615395495.776858;-5528;-1270;6927
1615395495.7959957;-5555;-1490;6772
1615395495.8055573;-5562;-1600;6688
1615395495.815205;-5571;-1722;6585
1615395495.8456604;-5607;-2070;6298
1615395495.854971;-5607;-2190;6192
1615395495.8651319;-5621;-2315;6091
1615395495.876394;-5638;-2460;5966
