unixtime;Bx;By;Bz
1615395148.6567323;1062;-6057;-12167
1615395148.7065215;1058;-6065;-12176
1615395148.7744143;1056;-6052;-12181
1615395148.7846522;1053;-6047;-12178
1615395148.7945042;1058;-6057;-12192
1615395148.8056633;1067;-6070;-12170
1615395148.8243651;1053;-6057;-12167
1615395148.8344305;1058;-6065;-12158
1615395148.8557065;1058;-6060;-12167
1615395148.874772;1056;-6067;-12176
1615395148.8838167;1053;-6057;-12183
1615395148.9141326;1048;-6065;-12167
1615395148.9435606;1048;-6067;-12158
1615395148.954845;1058;-6055;-12176
1615395148.9733849;1065;-6057;-12172
1615395148.983219;1058;-6067;-12167
1615395148.9935486;1051;-6060;-12178
1615395149.0234656;1070;-6065;-12165
1615395149.0545552;1058;-6055;-12172
1615395149.0826643;1062;-6062;-12176
1615395149.092832;1062;-6060;-12167
1615395149.1039033;1065;-6062;-12176
1615395149.122457;1058;-6042;-12181
1615395149.1324122;1070;-6047;-12176
1615395149.142422;1056;-6050;-12176
1615395149.153803;1051;-6062;-12183
1615395149.1718981;1065;-6060;-12162
1615395149.1820955;1058;-6057;-12183
1615395149.192172;1070;-6067;-12158
1615395149.203209;1067;-6057;-12178
1615395149.2531748;1067;-6062;-12170
1615395149.2623653;1070;-6052;-12176
1615395149.2817702;1075;-6055;-12165
1615395149.291507;1065;-6050;-12165
1615395149.3211806;1053;-6067;-12167
1615395149.3311162;1067;-6065;-12178
1615395149.3616383;1062;-6067;-12167
1615395149.3713317;1048;-6065;-12165
1615395149.4023724;1058;-6060;-12170
1615395149.4309368;1058;-6062;-12178
1615395149.4608843;1072;-6050;-12165
1615395149.490905;1072;-6062;-12170
1615395149.5019877;1056;-6060;-12176
1615395149.5306082;1053;-6072;-12165
1615395149.5601826;1051;-6070;-12162
1615395149.590149;1070;-6062;-12151
1615395149.6012807;1058;-6065;-12172
1615395149.6505408;1067;-6060;-12170
1615395149.6793606;1053;-6070;-12165
1615395149.7095678;1075;-6065;-12167
1615395149.7392669;1065;-6070;-12165
1615395149.750798;1070;-6055;-12165
1615395149.7686589;1062;-6050;-12148
1615395149.7784247;1058;-6060;-12142
1615395149.8000057;1065;-6050;-12148
1615395149.8186347;1075;-6057;-12137
1615395149.8283036;1088;-6055;-12146
1615395149.858347;1062;-6052;-12128
1615395149.8879662;1067;-6040;-12116
1615395149.8990448;1070;-6052;-12116
1615395149.9174495;1067;-6045;-12096
1615395149.9275537;1091;-6035;-12091
1615395149.9377267;1077;-6040;-12098
1615395149.9488692;1072;-6045;-12086
1615395149.967219;1091;-6042;-12077
1615395149.9778433;1098;-6032;-12061
1615395150.0072784;1088;-6027;-12036
1615395150.037013;1096;-6022;-12003
1615395150.0478036;1096;-6020;-11996
1615395150.0772839;1103;-6005;-11952
1615395150.1068063;1112;-5987;-11920
1615395150.136373;1112;-5970;-11865
1615395150.1477513;1117;-5982;-11853
1615395150.165729;1136;-5965;-11807
1615395150.1759884;1127;-5952;-11786
1615395150.1859179;1133;-5962;-11777
1615395150.1972127;1130;-5945;-11753
1615395150.2155538;1130;-5935;-11712
1615395150.2254922;1141;-5932;-11685
1615395150.2359304;1143;-5917;-11671
1615395150.2468243;1148;-5920;-11636
1615395150.2757905;1148;-5895;-11571
1615395150.306224;1170;-5875;-11472
1615395150.3349602;1175;-5842;-11366
1615395150.3463523;1186;-5832;-11347
1615395150.364572;1175;-5800;-11278
1615395150.3746886;1183;-5792;-11241
1615395150.384946;1170;-5777;-11202
1615395150.39603;1196;-5780;-11165
1615395150.4142208;1198;-5755;-11093
1615395150.4243846;1203;-5752;-11047
1615395150.4347618;1207;-5735;-11006
